Accession #,Folder,Date,"Number ([Street #(s)], [Block]-[Parcel/Lot])",Description,Sub-Accession #,,Notes,Duplicate?
1984.15.1,Center St,,,"South side of;Center St; Looking east; Middletown, Conn.",,,,
,,,,,,,"Main street frontage, from left to right: Building (R.J. Atwood Jeweler), Woodward [Top] (and Hoffman's [Bottom]), Hardware store (Smith & Bishel), Cappello's Barber Shop, Duchess Beauty Shops, DREH... Hard__re (Hardware)",
,,,,,,,"Center street, turning right off of Main and leading outwards: Right/South side: few extensions of Main St. buildings (presumably), Moore Bros Fish Market, 4-5 extra houses",
,,,,,,,"Parts of College and DeKoven visible, may be useful as reference",
1984.15.3,Center St,,,"Center St.;Middletown, Conn",,,,
,,,,,,,"Main street frontage, from left to right: Victor ... Repairing, Central Lunch, Sherwin-Williams Paint & Toys, [Center street], R.J. Atwell Jeweler, Woodward [Top] and Hoffman's [Bottom]",
,,,,,,,"Center street, turning right off of Main and leadaing outwards: Right/South side: few extensions of Main St. buildings (presumably), Moore Bros Fish Market, 4-5 extra houses",
,,,,,,,Center street: Left/North side: 7-8 unidentifiable buildings,
1984.15.24,Center St,,,Center St.;(looking West);from s corner with DeK. Drive,,,,1984.15.25
,,,,,,,,
,,,,,,,,
1984.15.7,Center St,,Envelope,""" B-7;Rosano;Center St;North Side;8-1961 ""*;*former envelope label",,,,
,,,,,,,"11 miscellanous photos of dilapidated interior, some duplicates",
,,,,,,,"14 exterior photos, some duplicates",
,,,,,,,"Might be the building adjacent to or next to the building adjacent to Moore Bros Fish Market, South side",
,,,,,1984.15.7.1,,"Interior photo, looking on two doorways",
,,,,,1984.15.7.2,,"Interior photo, doorway leading to room with floral wallpaper",
,,,,,1984.15.7.3,,"Interior photo, black door leading to open window",
,,,,,1984.15.7.4,,"Interior photo, doorway leading to room with floral wallpaper",
,,,,,1984.15.7.5,,"Interior photo, black door leading to open window",
,,,,,1984.15.7.6,,"Interior photo, doorway leading to room with floral wallpaper",
,,,,,1984.15.7.7,,"Interior photo, doorway leading to room with floral wallpaper",
,,,,,1984.15.7.8,,"Interior photo, looking on two doorways",
,,,,,1984.15.7.9,,"Interior photo, black door leading to open window",
,,,,,1984.15.7.10,,"Interior photo, looking on two doorways",
,,,,,1984.15.7.11,,"Interior photo, looking on two doorways",
,,,,,1984.15.7.12,,"Exterior photo, viewing Rosano property from the side (possibly looking west)",
